visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
600,<a href='/visas/getting-a-visa/visa-listing/visitor-600/sponsored-family-stream'>600 - Visitor (subclass 600)</a>,600 - Visitor (subclass 600),Visitor,30,Sponsored Family,35 Days,42 Days,14 Days,18 Days,02 November 2023,30 September 2023,<p>​<br><br></p>
602,<a href='/visas/getting-a-visa/visa-listing/medical-treatment-602'>602 - Medical Treatment (subclass 602) - outside Australia</a>,602 - Medical Treatment (subclass 602) - outside Australia,Other Temporary,,,28 Days,4 Months,Less than 1 Day,8 Days,02 November 2023,30 September 2023,
651,<a href='/visas/getting-a-visa/visa-listing/evisitor-651'>651 - eVisitor  (subclass 651)</a>,651 - eVisitor  (subclass 651),Visitor,,,Less than 1 Day,1 Day,Less than 1 Day,Less than 1 Day,02 November 2023,30 September 2023,<p>​<br><br></p>​<br>
771,<a href='/visas/getting-a-visa/visa-listing/transit-771'>771 - Transit  (subclass 771)</a>,771 - Transit  (subclass 771),Crew and Transit,,,6 Days,13 Days,1 Day,3 Days,02 November 2023,30 September 2023,
600,<a href='/visas/getting-a-visa/visa-listing/visitor-600/business-visitor-stream'>600 - Visitor (subclass 600)</a>,600 - Visitor (subclass 600),Visitor,31,Business Visitor,8 Days,13 Days,2 Days,5 Days,02 November 2023,30 September 2023,<p>​<br><br></p>
801,<a href='/visas/getting-a-visa/visa-listing/partner-onshore/permanent-801'>801 - Partner (subclass 801)</a>,801 - Partner (subclass 801),Family,,,13 Months,17 Months,9 Months,9 Months,02 November 2023,30 September 2023,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.</p>​<br>
802,<a href='/visas/getting-a-visa/visa-listing/child-802'>802 - Child (subclass 802)</a>,802 - Child (subclass 802),Family,,,13 Months,19 Months,5 Months,8 Months,02 November 2023,30 September 2023,
808,<a href='/visas/getting-a-visa/visa-listing/confirmatory-residence-subclass-808'>808 - Confirmatory (Residence)  (subclass 808)</a>,808 - Confirmatory (Residence)  (subclass 808),Other Permanent,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
820,<a href='/visas/getting-a-visa/visa-listing/partner-onshore/temporary-820'>820 - Partner (subclass 820)</a>,820 - Partner (subclass 820),Family,,,13 Months,27 Months,3 Months,5 Months,02 November 2023,30 September 2023,<p>We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.</p>​<br>
837,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-837'>837 - Orphan Relative (subclass 837)</a>,837 - Orphan Relative (subclass 837),Family,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
887,<a href='/visas/getting-a-visa/visa-listing/skilled-regional-887'>887 - Skilled-Regional (subclass 887)</a>,887 - Skilled-Regional (subclass 887),Skilled,,,18 Months,25 Months,1 Day,66 Days,02 November 2023,30 September 2023,<p>​<br><br></p>
890,<a href='/visas/getting-a-visa/visa-listing/business-owner-890'>890 - Business Owner (subclass 890)</a>,890 - Business Owner (subclass 890),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
892,<a href='/visas/getting-a-visa/visa-listing/state-or-territory-sponsored-business-owner-892'>892 - State Sponsored Business Owner  (subclass 892)</a>,892 - State Sponsored Business Owner  (subclass 892),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
